download,upload,ping,time
59090588.55160653,6557922.185066796,17.709,2020-10-06 07:29:43.290568
60479052.22195188,6446415.603718639,29.245,2020-10-06 07:36:30.472013
65320914.10617822,6786311.9131560745,22.475,2020-10-06 07:39:41.635508
41759013.59062598,6402503.219491123,20.257,2020-10-06 07:43:09.668803
66049419.317194454,6442058.465206763,15.405,2020-10-06 08:42:59.722100
61006245.06294388,6421774.090118009,14.964,2020-10-06 09:37:04.874571
55488789.7744205,6349016.409115873,17.887,2020-10-06 09:41:17.468962
51715885.13256886,6500211.318814516,18.158,2020-10-06 09:50:18.401188
56564174.101292886,6465241.550187858,23.152,2020-10-06 09:55:17.261622
57301887.834066726,6332135.1066143345,19.853,2020-10-06 10:00:17.590789
55335952.6821494,6481406.365326079,23.354,2020-10-06 10:05:17.473457
41631116.31640088,6381721.005837616,47.467,2020-10-06 10:10:17.649236
56498912.71600824,6300094.549921984,15.075,2020-10-06 10:15:18.435456
56666146.70850026,6322390.669104622,23.074,2020-10-06 10:20:17.214788
63294008.076919734,6531366.729659469,19.081,2020-10-06 10:25:17.092267
41948250.49155894,6406633.710807983,23.021,2020-10-06 10:30:16.811369
54423295.09949654,5074609.044395288,19.966,2020-10-06 10:35:19.892447
62636770.42940333,6368410.430503913,18.044,2020-10-06 10:40:17.090638
60309468.71090329,5415083.874775603,24.402,2020-10-06 10:45:19.061956
47438931.89590535,6346175.501626808,23.135,2020-10-06 10:50:17.215141
40214732.630030975,6267039.226827446,16.819,2020-10-06 10:52:31.618212
48663579.180598915,6415241.136715508,23.197,2020-10-06 10:59:43.774120
54782430.71726327,6567903.220921053,17.898,2020-10-06 11:03:25.673437
42956133.31530933,6310204.931323155,19.87,2020-10-06 11:10:36.755637
39091769.19384521,6312402.830714065,17.244,2020-10-06 11:14:25.087534
51860259.813813314,5447264.963181847,19.068,2020-10-06 11:58:49.556108
63021421.98600359,6575608.294822653,15.017,2020-10-06 12:03:46.668172
21902294.06693273,6333891.266902729,50.529,2020-10-06 12:08:48.803437
61421623.826440424,6397367.8377723275,23.334,2020-10-06 12:13:46.524069
63811322.69911957,6500634.784279423,23.252,2020-10-06 12:18:47.318435
46151626.03844482,6433243.821522101,23.094,2020-10-06 12:23:46.764202
48668427.8867845,6394565.717135203,22.783,2020-10-06 12:28:47.171268
60943347.37685877,6431601.45664347,20.364,2020-10-06 12:33:46.904181
42957332.793040186,6450781.401588515,18.528,2020-10-06 12:38:48.130124
59964362.31391693,6472201.38591167,23.028,2020-10-06 12:43:48.112799
45769694.63825699,6471897.825544483,23.468,2020-10-06 12:48:47.447161
61177121.54625618,6411969.771465034,22.632,2020-10-06 12:53:46.961009
55396211.511840224,6353523.838202773,29.459,2020-10-06 12:58:47.056765
55947518.06436294,6534508.802124097,17.244,2020-10-06 13:03:46.653699
43796386.241402715,6366200.538006993,23.16,2020-10-06 13:08:46.824015
52343318.574104026,6589908.5040173745,30.407,2020-10-06 13:13:47.078595
